Id,Name,Created at,Name [Scenes]
2,皇后街,2021年01月04日 17:09,"西門町智慧城市@皇后街(6號出口),西門聖誕節🎄@皇后街,智慧城市demo"
3,西岸街,2021年01月04日 18:28,"西門町智慧城市@西岸街(峨眉▶中華路),西門聖誕節🎄@西岸街"
4,東岸街,2021年01月04日 18:30,"西門町智慧城市@東岸街(峨眉▶西寧南路),西門聖誕節🎄@東岸街"
5,中央廣場_後半,2021年01月04日 18:36,"西門町智慧城市@中央廣場後段(漢中▶武昌),西門聖誕節🎄@中央廣場後段"
6,傑克遜街,2021年01月05日 14:43,"西門町智慧城市@傑克遜街(武昌▶中華),西門聖誕節🎄@傑克遜街"
7,百老匯街,2021年01月05日 14:46,"西門町智慧城市@百老匯街(武昌▶西寧南),西門聖誕節🎄@百老匯街"
8,哈林街,2021年01月05日 15:08,"西門町智慧城市@哈林街(漢中▶漢口),西門大嘻哈@哈林街(漢中▶漢口)"
9,力暘花蓮辦公室,2021年01月18日 13:19,力暘花蓮辦公室
10,吉米區,2021年01月21日 15:06,西門街頭主場@西門靖
11,中央廣場_前半,2021年01月21日 15:15,"西門町智慧城市@中央廣場前(漢中▶峨眉),西門聖誕節🎄@中央廣場前段,諸葛四郎_uniqlo"
32,光時代辦公室測試用366,2021年03月17日 19:00,"智慧城市展_showroom,打殭屍測試,燈籠解謎測試,oooo,player sdk test game,steven會議室Demo,智慧城市高雄展,demo場景,銘傳AR海底遊樂園1F,銘傳AR海底遊樂園4F,RC_Test_動畫特效,粽邪第五關解謎,大稻埕(niho)紅包雨-1個,大稻埕-貨櫃碼頭,niho-bug,08-中央廣場前段_藝廊,自定義動作串,秉薪蘭園,豬排,拼圖遊戲測試-B拼圖,場景：點擊物件顯示徽章,RC_星竹東,小童冒險家,青壯年探索者,資深回憶者,小公主夢想家,都市時尚達人,優雅藝術愛好者,Default-海底世界,物件：儀表板,RC_綠能竹東_萬聖節_01火車站,RC_綠能竹東_萬聖節_03鎮公所,聚樂邦雨神同行demo2.0"
36,公版測試凱棋,2021年05月31日 09:39,凱棋場景之貓貓暴走
37,Holopark Scene,2021年08月14日 14:28,HoloParkScene
39,HoloPark室內區,2021年08月31日 19:27,Holopark室內區
40,智慧燈桿-重慶路館前東路南側,2021年09月03日 12:43,智慧燈桿-重慶路管前東路南側-181
41,智慧燈桿-重慶路館前東路北側,2021年09月03日 12:44,智慧燈桿-重慶路管前東路北側-666
43,智慧燈桿-重慶路中山路一段北側,2021年09月03日 12:44,智慧燈桿-重慶路中山路一段北側-322
44,智慧燈桿-重慶路中山路一段南側,2021年09月03日 12:44,智慧燈桿-重慶路中山路一段南側-297
46,金獅樓街,2021年09月12日 06:34,"西門光宇宙@金獅樓(武昌▶昆明),西門聖誕節🎄@金獅樓街"
47,電影街_後半段,2021年09月12日 07:00,"西門大嘻哈@電影街後段(武昌▶康定),	後街塔酷祭@電影街後段,西門光宇宙@電影街後段(武昌▶康定)"
48,電影街_前半段,2021年09月12日 07:12," 西門光宇宙@電影街前段(武昌▶康定),,西門聖誕節🎄@電影街,諸葛四郎_電影街前段"
50,內湖區康寧國小,2021年09月17日 07:35,康寧國小校門口
51,西門國小,2021年09月17日 10:01,新西門國小校門口
53,高雄亞灣新創園,2021年09月30日 17:31,亞灣新創園
55,世界蘭展延伸推廣特展,2021年10月07日 10:04,
56,demo-hy,2021年10月08日 06:59,demo-hy
57,西門紅樓萬聖節,2021年10月11日 17:59,西門町萬聖節@紅樓
59,Hank 辦公室 538,2021年10月15日 14:59,粽邪第一關解謎
63,緯雄家,2021年10月29日 22:20,超感空間安西府3D財虎迎虎年TEST
64,mike demo,2021年11月02日 13:23,"亞灣新創園,	後街塔酷祭@電影街後段,西門町萬聖節@中央廣場後(漢中▶武昌),西門大嘻哈@電影街前段(武昌▶康定),西門大嘻哈@皇后街(6號出口),大稻埕-貨櫃碼頭,大稻埕-貨櫃碼頭_導覽員複製-plain"
65,新西門圓環,2021年11月04日 10:24,
70,實驗,2021年11月25日 00:12,
73,hank辦公室 802,2021年11月28日 08:47,"亞灣新創園,西門聖誕節🎄@皇后街,臺北市政府大廳AR導覽,永安海螺館,霹靂in光榮碼頭"
74,新北歡樂耶誕城A1,2021年11月29日 15:46,新北歡樂耶誕城-A1
75,新北市政府-3,2021年11月29日 15:47,新北3_平溪&烏來
76,新北市政府-2,2021年11月29日 15:47,新北2_石門&萬里
77,新北歡樂耶誕城A4,2021年11月29日 15:48,新北1_瑞芳
78,新北市政府-6,2021年11月29日 15:48,新北6_中和&新店
79,新北市政府-4,2021年11月29日 15:48,新北4_淡水
80,新北歡樂耶誕城A7,2021年11月29日 15:49,新北歡樂耶誕城-A7
81,新北歡樂耶誕城A8,2021年11月29日 15:49,新北歡樂耶誕城-A8
82,板橋-府中-3,2021年11月29日 15:49,新北0_板橋-3
83,板橋-府中-4,2021年11月29日 15:50,新北0_板橋-4
